currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
287,Praveen Kumar,/penchalaiah123,expert,18.0,2020-09-05T08:10:31.543Z,0,0,3
288,CPMP,/cpmpml,expert,17.0,2012-12-16T12:03:05.527Z,0,0,3
289,Rob Harrand,/tentotheminus9,expert,17.0,2015-06-12T09:48:12.573Z,0,1,4
290,Ashadullah Shawon,/shawon10,expert,17.0,2017-09-29T09:50:43.317Z,0,0,3
291,Debadri Dutta,/duttadebadri,expert,17.0,2017-10-17T15:22:35.597Z,0,0,3
292,Sugandh ,/sugandhkhobragade,expert,17.0,2018-04-21T04:18:31.06Z,0,0,3
293,Amaan,/rainmaker29,expert,17.0,2018-09-02T19:39:42.99Z,0,0,4
294,Burak  Batıbay,/batibayburak,expert,17.0,2019-01-14T12:42:25.533Z,0,0,3
295,Nandan Pandey,/awadhi123,expert,17.0,2019-06-01T14:51:06.693Z,0,0,3
296,Abhishek Gupta,/agsam23,expert,17.0,2020-01-05T19:57:02.747Z,0,0,3
297,Liu Shang,/liushanglee,expert,17.0,2020-07-19T07:11:06.903Z,0,0,3
298,thatdataanalyst,/koki25ando,expert,16.0,2017-02-07T07:23:08.323Z,0,0,3
299,AkshatGupta,/akshat4112,expert,16.0,2017-08-15T09:18:33.917Z,0,0,3
300,Jonathan Besomi,/jonathanbesomi,expert,16.0,2018-10-04T18:54:53.32Z,0,0,3
301,vijay chauhan,/vchauhanusf,expert,16.0,2019-10-16T03:01:36.56Z,0,0,4
302,Sagnik,/sagnikpatra,expert,16.0,2019-10-19T08:50:26.013Z,0,0,3
303,Animesh Nareda,/animeshnareda,expert,16.0,2020-05-20T09:46:53.533Z,0,0,3
304,sandy1112,/sandy1112,expert,15.0,2016-04-01T04:45:11.467Z,0,0,3
305,Sagar Shee,/winterbreeze,expert,15.0,2019-12-26T08:23:19.39Z,0,0,3
306,Bella Ciao,/chandanverma,expert,14.0,2014-03-25T10:16:35.343Z,0,0,3
307,Canggih P Wibowo,/canggih,expert,14.0,2016-09-10T05:05:43.877Z,0,0,3
308,Evan Hallmark,/ehallmar,expert,14.0,2017-11-22T23:34:21.697Z,0,0,2
309,Furagsu,/efradgamer,expert,14.0,2019-02-13T01:29:55.62Z,0,0,3
310,XZ,/dwdkills,expert,14.0,2019-06-07T17:41:51.297Z,0,0,3
311,Icaro Freire,/icarofreire,expert,14.0,2019-12-19T23:42:37.09Z,0,0,3
312,Anany Sharma,/ananysharma,expert,14.0,2020-01-23T17:24:42.107Z,0,0,3
313,Linh Halley,/linhhalley,expert,14.0,2020-07-11T11:29:56.67Z,0,0,3
314,Jose Berengueres,/harriken,expert,13.0,2012-01-14T13:21:14.18Z,0,0,3
315,kishorkumarJha,/kishor1210,expert,13.0,2016-12-16T06:15:55.447Z,0,0,3
316,Andrea Garritano,/andreagarritano,expert,13.0,2019-09-01T14:50:36.86Z,0,0,3
317,Sanskruti Panda,/sanskrutipanda,expert,13.0,2019-10-30T17:02:27.7Z,0,0,3
318,Rafay,/rafay12,expert,12.0,2018-11-12T16:28:46.433Z,0,0,3
319,Jigyashu Suraj,/jigyashusuraj,expert,12.0,2019-08-26T02:39:37.967Z,0,0,3
320,Semih Arıcan,/smhrcn,expert,11.0,2017-10-24T07:30:16.16Z,0,0,3
321,Brian Roach,/broach,expert,10.0,2013-02-09T23:56:09.817Z,0,1,2
322,Chaitanya Bapat,/chaibapat,expert,10.0,2016-07-05T06:53:47.08Z,0,0,3
323,Alexsumt,/alexsumt,expert,10.0,2018-12-19T16:05:48.663Z,0,0,3
324,freeCodeCamp,/fccuser,expert,6.0,2016-05-30T03:23:39.12Z,0,1,2
325,AaronSchlegel,/aaronschlegel,expert,5.0,2015-05-12T21:18:06.06Z,0,0,3
